Turno	Son/Alabado	Autor	Dirección	Lat	Lng	Tipo
Turno 37	Sobre las olas	Juventino Rosas	De la 11 a la 12 avenida sobre la 12 calle zona 1	14.637522	-90.506178	ida
Turno 38	Reina y Madre	Waldir Edinilson Contreras Pedroza	De la 12 a la 11 calle sobre la 12 avenida zona 1	14.637522	-90.506178	regreso
Extraordinario Santo Domingo	El Cacique Dormido	Domingo Bethancourt	De la 11 calle al atrio del templo de Santo Domingo sobre la 12 avenida zona 1	14.638379	-90.506178	regreso
	El Niño del Santisimo	Raymundo Díaz				
	Himno al Rosario	Fray María Francisco				
	La Granadera	D.R.A				
Turno 40	Himno a la Coronación Pontificia	Miguel Zaltrón	Del atrio del Templo de Santo Domingo a la 10ma. calle sobre la 12 avenida zona 1	14.638379	-90.507492	regreso
	Santo Domingo de Guzmán	Wilver Hernandez				
Turno 41	La Feria de las Flores	Jesús Monge	De la 12 avenida a la 11 avenida sobre la 10ma. calle zona 1	14.639236	-90.507492	regreso
	Migdalia Azucena	Gumercindo Palacios				
Turno 42	San José Carpintero, Carpintero.	Samuel Pascual	De la 10ma. calle a la 9na. calle sobre la 11 avenida zona 1	14.639871	-90.507755	regreso
	La Danza de los Venados	Rafael Juárez Toledo				
Extraordinario Parque Colón	La Quebrada	Lester Godínez	De la 9na. calle a la 8va. calle sobre la 11 avenida zona 1	14.64095	-90.507492	regreso
	Maricumbia	Julio Anibal Delgado				
Turno 44	Son de la Patroncita	Wilver Hernandez	De la 8va. calle a la 7ma. calle sobre la 11 avenida, zona 1	14.642677	-90.507492	regreso
Turno 45	Las Chiapanecas	Bulmaro López	De la 7ma. calle a la 5ta. calle sobre 11 avenida zona 1	14.643521	-90.507492	regreso
	Dogma	Yarol Cur / Arr. Samuel Pascual				
Extraordinario La Merced	Caridad de Guadalquivir	Paco Lola	De la 5ª calle a la 4ª calle sobre la 11 avenida zona 1	14.643521	-90.508806	regreso
	Lain Nebaj	Rafael Juárez Toledo				
Turno 47	El Danubio Azul	Johann Strauss	De la 11 avenida a la 10ma. avenida sobre la 4ta. calle zona 1	14.643521	-90.510121	regreso
	Inmaculada Virgen María	Hector Gómez Barillas				
Turno 48	Cuando el indio llora	José María Mejía	De la 10ma. avenida a la 9na. avenida sobre la 4ta. calle zona 1	14.644483	-90.51051	regreso
Extraordinario Santa Teresa	Virgen del Carmen	Byron Santizo	De la 9na. avenida a la 8va. avenida sobre la 4ta. calle zona 1	14.642664	-90.511435	regreso
	Tsio Ti	Lester Godínez				
Turno 50	Recuerdos de un amigo	Belarmino Molina	De la 4ta. calle a la 5ta. calle sobre la 8va. avenida zona 1	14.641807	-90.511435	regreso
Turno 51	Hermosa Doncella	Luciano Jimenez	De la 5ta. calle a la 6ta. calle sobre la 8va. avenida zona 1	14.641807	-90.51275	regreso
Turno 52	Ferrocarril de los Altos	Domingo Bethancourt	De la 8va. avenida a la 7ma. avenida sobre la 6ta. calle zona 1	14.642919	-90.513067	regreso
	Maria Luisa I	Enrique Castro				
Palacio Nacional	El Sembrador	Lester Homero Godínez	De la 7ma. avenida a la 6ta. avenida sobre la 6ta. calle zona 1	14.642664	-90.514064	regreso
	La Gloria del Pueblo	Felix de Carboneras				
Turno 54	La caída del Sol	Santiago Cruz	De la 6ta. calle a la 5ta. calle sobre la 6ta. avenida zona 1	14.643521	-90.514064	regreso
Turno 55	Golosinas de Amatitlan	Carlos Morales	De la 5ta. calle a la 4ta. calle sobre la 6ta. avenida de la zona 1	14.644378	-90.514064	regreso
	Inmaculada Virgen María	Hector Gómez Barillas				
Turno 56	Mi Catochita	Manolo Fernandez	De la 4ta. calle a la 3era. calle sobre la 6ta. avenida zona 1	14.646192	-90.512585	regreso
	La Patrona de mi pueblo	Carlos Alfonso Colindres				
Extraordinario San Sebastián	Herencia de Abuelos	Oscar Ajín	De la 3ra. calle a la 2da. calle sobre la 6ta. avenida de la zona 1	14.646392	-90.514064	regreso
	La Chirimía	Alejandro Orozco				
Turno 58	Virgen de Morenos	Luis Ortiz	De la 2da. calle zona 1 a la 1era. calle zona 2 sobre la 6ta. avenida	14.647249	-90.514064	regreso
	Luna de Xelaju	Francisco Pérez				
Turno 59	Ave María	William Gómez	De la 1era. calle a la 2da calle sobre la 6ta. avenida zona 2	14.647249	-90.515378	regreso
Turno 60	Danzón	Belarmino Molina	De la 6ta. avenida a la 5ta. avenida sobre la 2da. calle zona 2	14.648106	-90.515378	regreso
	San Bartolo	Gabriel Hurtado				
Turno 61	Noches de Escuintla	María del Tránsito Barrios	De la 2da. calle a la 3era. calle sobre la 5ta. avenida zona 2	14.648963	-90.515378	regreso
	Callecitas de San Marcos	Carlos Enrique Arango				
Turno 62	Un día de amor	José María Girón	De la 3era. calle a la 4ta. calle sobre la 5ta. avenida zona 2	14.64982	-90.515378	regreso
	Santo Domingo Xenacoj	Elpidio Cano				
Turno 63	Corpus Meum	José Luis Gónzalez	De la 4ta. calle a la 5ta. calle sobre la 5ta. avenida zona 2	14.64982	-90.512743	regreso
	Amanecer	Lester Homero Godínez				
Turno 64	Reina de Reyes	Alejandro Blanco	De la 5ta. avenida a la Avenida Simeón Cañas sobre la 5ta. calle zona 2	14.648106	-90.512743	regreso
	Reina Celestial	Fredy Sajmolo				
Extraordinario Jocotenango 1	Noche de Luna Entre Ruinas	Mariano Valverde	De la 5ta. calle a la 3era. calle sobre la Avenida Simeón Cañas zona 2	14.648106	-90.511616	regreso
	La Despedida	Oscar Ajin				
Turno 66	Vals No. 2	Dimitri Shostakovich	De la Avenida Simeón Cañas a la 6ta. avenida A sobre la 3era. calle zona 2	14.64982	-90.511616	regreso
Extraordinario Jocotenango 2	Vuela Quetzal, Vuela	Oscar Ajín	De la 3era. calle a la 5ta. calle sobre la 6ta. avenida A zona 2	14.64982	-90.512743	regreso
	La Esperanza de María	Alejandro Blanco				
Turno 68	Señora y Niña Mía	Cristian González Ajín	De la 6ta. avenida A a la Avenida Simeón Cañas sobre la 5ta. calle zona 2	14.650677	-90.512743	regreso
Turno 69	Bajo el cielo azul	Froilán Rodas Santizo	De la 5ta. calle a la 6ta. calle sobre la Avenida Simeón Cañas zona 2	14.651534	-90.512743	regreso
	El Carpintero	Antonio Mendoza				
Turno 70	Vamos torito a bailar	Marvin Escobar	De la 6ta. calle a la 7ma. calle sobre la Avenida Simeón Cañas zona 2	14.651534	-90.51049	regreso
	Blanca Azucena	Miguel Gómez				
Turno 71	Alejandra	Enrique Mora	De la Avenida Simeón Cañas a la 7ma. avenida sobre la 7ma. calle zona 2	14.650677	-90.51049	regreso
Turno 72	Noche Buena	Salvador Iriarte	De la 7ma. calle a la 6ta. calle sobre la 7ma. avenida zona 2	14.64993	-90.51049	regreso
Honor Entrada	La Danza de los Venados	Rafael Juárez Toledo	De la 6ta. calle y 7ma. avenida zona 2 al dosel del templo	14.64993	-90.51049	regreso
	La Quema del Diablo	Rafael Juárez Toledo				
	La Granadera	D.R.A				
	Salve, Nuestra Señora	Yarol Cur / Arre. Pablo Daniel Díaz				
	Himno de la Asunción	José Cubeles/Arr. Luis Pirir				
	Toritos					
	Cuando cae la lluvia					
	Mi Lupita					
	Toritos Concepción Tutuapa					
	Colonia Montreal					
	Maricumbia					
	Chichicastenango					
